id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"542S0540002263";"0540002263";"";"542S";"0001-01-01";"1994-05-18";"D";"S";"PAR LA FENETRE OUVERTE";"Scolaire sport socio-cultur";"000000";"000000";"Ecole primaire. 28, rue haute";"";"";"54120";"GLONVILLE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0541009362";"0541009362";"";"542S";"0001-01-01";"1990-10-31";"D";"S";"ASSOCIATION DANSE LIBRE NANCY";"Promouvoir la danse libre, mise en place par malkowski, sur la region lunevilloise.";"006040";"000000";"Chez viry marie-jo";"";"";"54100";"NANCY";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000002";"0542000002";"";"542S";"0001-01-01";"1906-08-08";"D";"S";"COMMUNAUTE ISRAELITE DE LUNEVILLE";"Communaute israelite de luneville";"040530";"000000";"5, rue castara";"";"";"54300";"LUNEVILLE";"PM";"";"W542001833";"R";"";"2018-09-05 09:51:34"
"542S0542000019";"0542000019";"";"542S";"0001-01-01";"1904-06-17";"D";"S";"LA GAULE FLIN";"La gaule de flin";"013010";"000000";"11bis, rue du chaufour";"";"";"54120";"FLIN";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S054200002B";"054200002B";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"L'ANCIENNE FRONTIERE";"Pratique des tirs, préparation militaire et pratique des sports.";"011175";"011000";"Mairie";"";"";"54370";"EINVILLE-AU-JARD";"PM";"";"W542001253";"R";"";"2013-08-01 09:06:21"
"542S0542000033";"0542000033";"";"542S";"0001-01-01";"1906-12-23";"D";"S";"LEGION SAINT MARTIN";"O";"011105";"000000";"2, rue de la moselle";"";"";"54290";"BAYON";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000036";"0542000036";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE SYMPHONIQUE DE LUNEVILLE";"Exécuter de la musique d'ensemble instrumentale, et de chorale, et de développer le goùt artistique, pour l'étude des instruments à cordes.";"006030";"000000";"4, impasse Bony";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000091";"0542000091";"";"542S";"0001-01-01";"1913-07-19";"D";"S";"UNION SAINT-BERNARD, FOOTBALL DE CIREY SUR VEZOUZE";"Educ.populai prepar.milit culturelle";"000000";"000000";"Mairie";"";"";"54480";"CIREY-SUR-VEZOUZE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000117";"0542000117";"";"542S";"0001-01-01";"1921-06-05";"D";"S";"ASSOCIATION FAMILIALE DE LUNEVILLE";"O";"019005";"000000";"1, place leopold";"";"";"54300";"LUNEVILLE";"PM";"";"W542001761";"R";"";"2017-10-26 11:05:15"
"542S0542000143";"0542000143";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"HARMONIE LUNEVILLOISE";"Etude de la musique , concerts publiques et séances récréatives, participation aux fêtes organisées par la municipalité, création d'une caisse de secours aux musiciens appartenant ou ayant appartenu à la dite société. La durée de cette caisse est liée à celle de l'HARMONIE LUNEVILLOISE.";"006030";"000000";"";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000204";"0542000204";"";"542S";"0001-01-01";"1928-07-06";"D";"S";"SOCIETE AMICALE DES SAPEURS POMPIERS DE BADONVILLER";"Pompiers amicale";"000000";"000000";"";"";"";"54540";"BADONVILLER";"PM";"";"W542001318";"R";"";"2014-03-03 09:45:24"
