Code_departement,Libelle_departement,Code_Nuance,Voix_T1,pct_Voix_Ins_T1,pct_Voix_Exp_T1,Sieges_T1,Voix_T2,pct_Voix_Ins_T2,pct_Voix_Exp_T2,Sieges_T2
1,AIN,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AIN,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AIN,CEN,0.0,1418.0,0.36,0.63,0.0,0.0,0.0,0.0
1,AIN,DVD,0.0,2214.0,0.56,0.98,0.0,0.0,0.0,0.0
1,AIN,DVG,0.0,11900.0,3.02,5.25,0.0,19529.0,4.95,8.99
1,AIN,ECO,0.0,2379.0,0.6,1.05,0.0,0.0,0.0,0.0
1,AIN,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AIN,EXG,0.0,1622.0,0.41,0.72,0.0,0.0,0.0,0.0
1,AIN,FG,0.0,9963.0,2.53,4.4,0.0,0.0,0.0,0.0
1,AIN,FN,0.0,40097.0,10.17,17.69,0.0,8530.0,2.16,3.93
1,AIN,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AIN,PRV,0.0,3946.0,1.0,1.74,0.0,0.0,0.0,0.0
1,AIN,RDG,0.0,15419.0,3.91,6.8,0.0,19780.0,5.02,9.1
1,AIN,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AIN,SOC,0.0,42333.0,10.74,18.68,0.0,55408.0,14.06,25.5
1,AIN,UMP,0.0,85679.0,21.74,37.8,5.0,114009.0,28.92,52.48
1,AIN,VEC,0.0,9705.0,2.46,4.28,0.0,0.0,0.0,0.0
2,AISNE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AISNE,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AISNE,CEN,0.0,623.0,0.17,0.29,0.0,0.0,0.0,0.0
2,AISNE,DVD,0.0,2028.0,0.54,0.93,0.0,0.0,0.0,0.0
2,AISNE,DVG,0.0,22852.0,6.07,10.46,2.0,39335.0,10.46,18.27
2,AISNE,ECO,0.0,1046.0,0.28,0.48,0.0,0.0,0.0,0.0
2,AISNE,EXD,0.0,1307.0,0.35,0.6,0.0,0.0,0.0,0.0
2,AISNE,EXG,0.0,2240.0,0.6,1.02,0.0,0.0,0.0,0.0
2,AISNE,FG,0.0,15215.0,4.04,6.96,0.0,0.0,0.0,0.0
2,AISNE,FN,0.0,39504.0,10.5,18.07,0.0,10205.0,2.71,4.74
2,AISNE,NCE,0.0,11297.0,3.0,5.17,0.0,15974.0,4.25,7.42
2,AISNE,PRV,0.0,1426.0,0.38,0.65,0.0,0.0,0.0,0.0
2,AISNE,RDG,0.0,18237.0,4.85,8.34,1.0,20427.0,5.43,9.49
2,AISNE,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AISNE,SOC,0.0,41714.0,11.09,19.09,1.0,51924.0,13.8,24.12
2,AISNE,UMP,0.0,55705.0,14.81,25.49,1.0,77431.0,20.59,35.96
2,AISNE,VEC,0.0,5374.0,1.43,2.46,0.0,0.0,0.0,0.0
3,ALLIER,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ALLIER,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ALLIER,CEN,0.0,593.0,0.23,0.39,0.0,0.0,0.0,0.0
3,ALLIER,DVD,0.0,811.0,0.32,0.53,0.0,0.0,0.0,0.0
3,ALLIER,DVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ALLIER,ECO,0.0,1499.0,0.59,0.98,0.0,0.0,0.0,0.0
3,ALLIER,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ALLIER,EXG,0.0,1483.0,0.58,0.97,0.0,0.0,0.0,0.0
3,ALLIER,FG,0.0,19042.0,7.43,12.41,0.0,0.0,0.0,0.0
3,ALLIER,FN,0.0,16903.0,6.6,11.01,0.0,0.0,0.0,0.0
3,ALLIER,NCE,0.0,273.0,0.11,0.18,0.0,0.0,0.0,0.0
3,ALLIER,PRV,0.0,325.0,0.13,0.21,0.0,0.0,0.0,0.0
3,ALLIER,RDG,0.0,19996.0,7.81,13.03,1.0,26301.0,10.27,17.37
3,ALLIER,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ALLIER,SOC,0.0,39775.0,15.53,25.91,2.0,61666.0,24.09,40.72
3,ALLIER,UMP,0.0,49524.0,19.34,32.26,0.0,63458.0,24.79,41.91
3,ALLIER,VEC,0.0,3268.0,1.28,2.13,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,ALLI,0.0,220.0,0.18,0.29,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,CEN,0.0,1192.0,0.96,1.57,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,DVD,0.0,1502.0,1.21,1.98,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,DVG,0.0,279.0,0.23,0.37,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,ECO,0.0,1020.0,0.82,1.34,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,EXG,0.0,679.0,0.55,0.89,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,FG,0.0,7289.0,5.88,9.59,0.0,0.0,0.0,0.0
4,ALPES DE HAUTE PROVENCE,FN,0.0,12075.0,9.75,15.89,0.0,0.0,0.0,0.0
